NAME,Proportion_of_married-couple_families_below_the_poverty_level_where_householder_did_not_graduate_high_school,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_=_high_school_graduate/equivalent,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_=_some_college_or_associate's_degree,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_level_=_bachelor's_degree_or_higher,Proportion_of_female-householder_families_below_the_poverty_level_where_householder_did_not_graduate_high_school,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_=_high_school_graduate/equivalent,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_=_some_college_or_associate's_degree,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_level_=_bachelor's_degree_or_higher
25311,0.1652892561983471,0.0,0.048458149779735685,0.0,1.0,0.6732673267326733,0.1553672316384181,0.20754716981132076
25601,0.23333333333333334,0.16455696202531644,0.048638132295719845,0.0,0.2727272727272727,0.0,0.32142857142857145,0.3333333333333333
26726,0.3246753246753247,0.11385767790262172,0.04735376044568245,0.0,0.8333333333333334,0.13553113553113552,0.6542056074766355,0.16666666666666666
26753,0.0,0.0022222222222222222,0.004975124378109453,0.0,1.0,0.5245901639344263,0.8513513513513513,0.0
26757,0.16923076923076924,0.07195571955719557,0.07394366197183098,0.0,0.4380952380952381,0.7066666666666667,0.19008264462809918,0.0
26003,0.08482142857142858,0.04,0.01832340815391663,0.007243990780375371,0.43661971830985913,0.1527777777777778,0.37166666666666665,0.0546448087431694
26150,0.47560975609756095,0.0,0.08349514563106795,0.03674540682414698,0.0,0.3,0.2358490566037736,0.16666666666666666
28119,0.12048192771084337,0.11458333333333333,0.0,0.0,0.6346153846153846,0.0,0.0,0.0
26037,0.14492753623188406,0.04935064935064935,0.0,0.0,0.0,0.14705882352941177,0.3888888888888889,0.0
26062,0.0,0.04783258594917788,0.025894897182025894,0.016159695817490494,0.2537313432835821,0.40963855421686746,0.06575963718820861,0.0
26201,0.08588957055214724,0.09154040404040405,0.1145124716553288,0.02594033722438392,0.30303030303030304,0.4272930648769575,0.446064139941691,0.0
26554,0.14579439252336449,0.047619047619047616,0.046453753629199505,0.01874573960463531,0.44936708860759494,0.395,0.3719626168224299,0.13793103448275862
26570,0.21774193548387097,0.04986149584487535,0.0,0.0,0.0,0.36363636363636365,0.0,0.0
26624,0.0,0.00980392156862745,0.0,0.24870466321243523,0.0,0.5106382978723404,0.0,0.42857142857142855
26836,0.0,0.04526748971193416,0.06552706552706553,0.0,0.7027027027027027,0.643312101910828,0.0,0.7307692307692307
26537,0.847457627118644,0.0,0.05426356589147287,0.0,0.0,0.5629139072847682,0.21176470588235294,0.0
26170,0.24074074074074073,0.01809954751131222,0.10610079575596817,0.03804347826086957,0.8,0.36507936507936506,0.36363636363636365,0.5714285714285714
27890,0.0,0.06866952789699571,0.18556701030927836,0.0,0.5357142857142857,0.6666666666666666,0.904,0.0
27958,0.06474820143884892,0.11159737417943107,0.0,0.023612750885478158,0.0,0.3368421052631579,0.1590909090909091,0.0
27101,0.2889908256880734,0.10181818181818182,0.07167235494880546,0.01473922902494331,0.8207885304659498,0.6353276353276354,0.29764453961456105,0.2523364485981308
27834,0.05308464849354376,0.1487603305785124,0.03753251579338536,0.04970873786407767,0.6019777503090235,0.3990498812351544,0.3888888888888889,0.12526539278131635
27925,0.06451612903225806,0.13389121338912133,0.06722689075630252,0.065,0.9166666666666666,0.0958904109589041,0.27586206896551724,0.9705882352941176
27205,0.15181518151815182,0.06775300171526587,0.027538018906699546,0.015651201788708775,0.44410876132930516,0.3196428571428571,0.2301255230125523,0.0
27332,0.18497109826589594,0.1055956678700361,0.06753042795445623,0.02463768115942029,0.532258064516129,0.4135667396061269,0.08503401360544217,0.05555555555555555
27517,0.054878048780487805,0.032,0.0,0.00640495867768595,0.0,0.6363636363636364,0.2542372881355932,0.15485564304461943
27518,0.0,0.0,0.03003003003003003,0.014675999096861594,0.0,0.0,0.0,0.18471337579617833
27519,0.0,0.01818181818181818,0.02348178137651822,0.018831764019665027,0.0,0.35802469135802467,0.3322784810126582,0.055765595463137994
27523,0.0,0.0,0.0,0.005615109749872384,0.0,0.0,0.4424778761061947,0.04824561403508772
27527,0.07120743034055728,0.04081632653061224,0.0,0.0,0.7083333333333334,0.0,0.3698630136986301,0.0
27537,0.1852589641434263,0.04402054292002935,0.07725587144622992,0.03229665071770335,0.6470588235294118,0.2449725776965265,0.02895752895752896,0.17901234567901234
27539,0.2297872340425532,0.03685092127303183,0.011137629276054098,0.017187940264863342,0.36666666666666664,0.15053763440860216,0.08290155440414508,0.0
27574,0.12121212121212122,0.0213857998289136,0.018504811250925242,0.014109347442680775,0.24516129032258063,0.20175438596491227,0.44876325088339225,0.0
27577,0.2712765957446808,0.08414872798434442,0.0,0.037366548042704624,0.5555555555555556,0.1950207468879668,0.22207267833109018,0.2947019867549669
27356,0.0,0.0,0.08357348703170028,0.0,0.21052631578947367,1.0,0.0,0.0
